Pt name,North,East,Elevation,Hz Precision,Vt Precision,PDOP,Sats,,Time,Date
PILIER_C,5182501.091,245651.39,90.047,      ?,     ?,   ?,  ?,1688721091,2023-07-07
nor1-5000,5182500.8,245650.727,90.15,0.017,0.016,1.4,19,1688721170,2023-07-07
nor1-5001,5182500.794,245650.731,90.152,0.017,0.015,1.4,19,1688721171,2023-07-07
nor1-5002,5182500.813,245650.727,90.155,0.017,0.015,1.4,19,1688721172,2023-07-07
nor1-5003,5182500.829,245650.717,90.157,0.017,0.015,1.4,19,1688721173,2023-07-07
nor1-5004,5182500.694,245650.894,90.148,0.017,0.016,1.5,18,1688721174,2023-07-07
nor1-5005,5182500.288,245651.567,90.077,0.022,0.018,1.9,16,1688721175,2023-07-07
nor1-5006,5182500.078,245652.52,90.176,0.039,0.036,2.1,14,1688721176,2023-07-07
nor1-5007,5182500.458,245653.527,90.105,0.027,0.032,2,12,1688721177,2023-07-07
nor1-5008,5182500.966,245654.832,89.915,0.025,0.029,2,14,1688721178,2023-07-07
nor1-5009,5182501.42,245656.039,89.957,0.018,0.026,2,15,1688721179,2023-07-07
nor1-5010,5182501.881,245657.308,89.999,0.016,0.025,2,15,1688721180,2023-07-07
nor1-5011,5182502.538,245658.552,89.953,0.015,0.019,1.7,15,1688721181,2023-07-07
nor1-5012,5182503.298,245659.658,90.004,0.015,0.019,1.7,15,1688721182,2023-07-07
nor1-5013,5182504.109,245660.742,90.026,0.015,0.019,1.6,18,1688721183,2023-07-07
nor1-5014,5182504.884,245661.807,90.034,0.015,0.02,1.6,18,1688721184,2023-07-07
nor1-5015,5182505.616,245662.856,90.055,0.014,0.019,1.5,16,1688721185,2023-07-07
nor1-5016,5182506.451,245663.874,90.089,0.015,0.02,1.5,17,1688721186,2023-07-07
nor1-5017,5182507.291,245664.914,90.109,0.013,0.018,1.4,17,1688721187,2023-07-07
nor1-5018,5182508.127,245665.961,90.142,0.014,0.018,1.4,17,1688721188,2023-07-07
nor1-5019,5182508.874,245666.957,90.139,0.015,0.019,1.4,19,1688721189,2023-07-07
nor1-5020,5182509.722,245667.838,90.136,0.017,0.023,1.4,19,1688721190,2023-07-07
nor1-5021,5182510.56,245668.78,90.099,0.016,0.021,1.4,19,1688721191,2023-07-07
nor1-5022,5182511.378,245669.85,90.076,0.017,0.021,1.4,18,1688721192,2023-07-07
nor1-5023,5182512.161,245670.909,90.051,0.014,0.017,1.4,17,1688721193,2023-07-07
nor1-5024,5182512.957,245671.898,90.1,0.021,0.021,1.4,17,1688721194,2023-07-07
nor1-5025,5182513.78,245672.921,90.08,0.025,0.023,1.4,17,1688721195,2023-07-07
nor1-5026,5182514.727,245673.915,90.141,0.019,0.026,1.4,15,1688721196,2023-07-07
nor1-5027,5182515.592,245674.901,90.081,0.028,0.029,1.4,15,1688721197,2023-07-07
nor1-5028,5182516.48,245675.925,90.096,0.026,0.03,1.4,14,1688721198,2023-07-07
nor1-5029,5182517.315,245676.951,90.056,0.037,0.026,1.6,14,1688721199,2023-07-07
nor1-5030,5182518.189,245677.981,90.114,0.032,0.031,1.6,14,1688721200,2023-07-07
nor1-5031,5182518.914,245679.055,90.13,0.036,0.043,1.6,15,1688721201,2023-07-07
nor1-5032,5182519.487,245680.217,90.216,0.034,0.041,1.6,14,1688721202,2023-07-07
nor1-5033,5182520.19,245681.383,90.232,0.036,0.044,1.7,13,1688721203,2023-07-07
nor1-5034,5182521.013,245682.462,90.27,0.032,0.04,1.7,14,1688721204,2023-07-07
nor1-5035,5182521.872,245683.534,90.205,0.029,0.034,1.7,14,1688721205,2023-07-07
nor1-5036,5182522.766,245684.51,90.18,0.026,0.029,1.7,17,1688721206,2023-07-07
nor1-5037,5182523.569,245685.5,90.12,0.022,0.034,1.5,16,1688721207,2023-07-07
nor1-5038,5182524.447,245686.484,90.115,0.021,0.034,1.5,16,1688721208,2023-07-07
nor1-5039,5182525.18,245687.463,90.138,0.017,0.019,1.7,15,1688721209,2023-07-07
nor1-5040,5182525.913,245688.402,90.17,0.027,0.026,1.7,16,1688721210,2023-07-07
nor1-5041,5182526.534,245689.398,90.183,0.021,0.025,1.5,16,1688721211,2023-07-07
nor1-5042,5182526.978,245690.552,90.138,0.025,0.026,1.5,16,1688721212,2023-07-07
nor1-5043,5182527.112,245691.833,90.073,0.024,0.024,1.5,16,1688721213,2023-07-07
nor1-5044,5182527.091,245693.104,90.099,0.026,0.027,1.5,15,1688721214,2023-07-07
nor1-5045,5182527,245694.382,90.179,0.019,0.028,1.5,15,1688721215,2023-07-07
nor1-5046,5182526.921,245695.613,90.152,0.018,0.03,1.5,13,1688721216,2023-07-07
nor1-5047,5182526.947,245696.833,90.093,0.017,0.03,2.2,14,1688721217,2023-07-07
nor1-5048,5182527.015,245698.095,90.097,0.017,0.03,2.2,14,1688721218,2023-07-07
nor1-5049,5182527.019,245699.298,90.131,0.024,0.032,1.7,15,1688721219,2023-07-07
nor1-5050,5182527.038,245700.524,90.117,0.025,0.031,1.7,14,1688721220,2023-07-07
nor1-5051,5182526.942,245701.816,90.279,0.035,0.055,1.7,13,1688721221,2023-07-07
nor1-5052,5182526.96,245703.036,90.102,0.019,0.036,1.7,11,1688721222,2023-07-07
nor1-5053,5182526.903,245704.326,90.147,0.022,0.039,1.7,11,1688721223,2023-07-07
nor1-5054,5182526.932,245705.633,90.161,0.028,0.049,1.7,12,1688721224,2023-07-07
nor1-5055,5182526.885,245706.879,90.135,0.027,0.042,1.7,13,1688721225,2023-07-07
nor1-5056,5182526.491,245708.089,90.244,0.036,0.056,1.7,11,1688721226,2023-07-07
nor1-5057,5182526.18,245709.246,90.161,0.097,0.066,1.7,11,1688721227,2023-07-07
nor1-5058,5182525.486,245710.313,90.382,0.107,0.072,1.7,10,1688721228,2023-07-07
nor1-5059,5182525.017,245711.383,90.317,0.118,0.123,1.7,9,1688721229,2023-07-07
nor1-5060,5182524.686,245712.026,90.162,0.132,0.135,5.4,7,1688721230,2023-07-07
nor1-5061,5182527.201,245714.418,96.581,0.748,1.483,2.7,12,1688721239,2023-07-07
nor1-5062,5182527.804,245714.471,96.508,0.66,1.346,2.7,11,1688721240,2023-07-07
nor1-5063,5182526.992,245714.649,92.521,0.649,1.34,3.2,9,1688721241,2023-07-07
nor1-5064,5182528.121,245714.621,93.84,0.695,1.368,2,9,1688721242,2023-07-07
nor1-5065,5182528.838,245714.877,93.499,0.766,1.529,2.6,8,1688721243,2023-07-07
nor1-5066,5182528.286,245715.464,92.494,0.704,1.4,4.3,8,1688721244,2023-07-07
nor1-5067,5182525.879,245716.731,94.987,4.468,2.953,2.8,11,1688721250,2023-07-07
nor1-5068,5182524.166,245717.556,97.833,1.211,2.421,2.3,11,1688721251,2023-07-07
nor1-5069,5182524.703,245717.441,99.574,0.859,1.793,2.3,12,1688721252,2023-07-07
nor1-5070,5182524.649,245717.882,99.902,0.838,1.646,2.2,13,1688721253,2023-07-07
nor1-5071,5182523.983,245718.7,100.638,0.997,1.981,2.2,9,1688721254,2023-07-07
nor1-5072,5182525.524,245720.223,98.246,1.027,2.126,5.1,8,1688721255,2023-07-07
nor1-5073,5182525.663,245722.174,95.669,3.938,8.517,8.6,7,1688721266,2023-07-07
nor1-5074,5182525.872,245721.899,95.707,0.763,1.717,2,9,1688721267,2023-07-07
nor1-5075,5182526.018,245721.773,96.602,0.771,1.72,2,11,1688721268,2023-07-07
nor1-5076,5182526.39,245721.675,97.494,0.7,1.62,2.3,11,1688721269,2023-07-07
nor1-5077,5182526.412,245721.85,98.09,0.693,1.561,5.8,9,1688721270,2023-07-07
nor1-5078,5182517.716,245727.278,96.98,0.797,1.732,5.3,10,1688721287,2023-07-07
nor1-5079,5182517.761,245727.295,97.039,0.82,1.776,6.2,9,1688721288,2023-07-07
nor1-5080,5182517.47,245727.835,97.108,0.695,1.629,6.2,8,1688721289,2023-07-07
nor1-5081,5182517.335,245728.059,97.421,0.69,1.633,2.4,9,1688721290,2023-07-07
nor1-5082,5182516.302,245728.336,97.147,0.677,1.651,3,9,1688721291,2023-07-07
nor1-5083,5182516.218,245728.133,96.095,0.712,1.759,3,7,1688721292,2023-07-07
nor1-5084,5182518.427,245726.777,93.749,0.641,1.304,2.1,11,1688721325,2023-07-07
nor1-5085,5182518.53,245727.069,93.301,0.654,1.307,2.1,11,1688721326,2023-07-07
nor1-5086,5182518.451,245726.951,92.573,0.539,1.07,2.2,11,1688721327,2023-07-07
nor1-5087,5182519.286,245726.196,93.139,0.593,1.192,2,9,1688721328,2023-07-07
nor1-5088,5182534.532,245718.816,92.815,0.776,1.607,3.1,10,1688721347,2023-07-07
nor1-5089,5182534.177,245719.318,92.91,0.764,1.49,3.1,10,1688721348,2023-07-07
nor1-5090,5182534.396,245719.689,93.107,0.7,1.394,2.6,10,1688721349,2023-07-07
nor1-5091,5182538.53,245720.452,90.756,1.457,2.563,3,7,1688721352,2023-07-07
nor1-5092,5182539.317,245721.107,91.065,1.855,3.33,3,7,1688721353,2023-07-07
nor1-5093,5182544.268,245724.92,89.932,0.756,1.617,2.7,7,1688721359,2023-07-07
nor1-5094,5182544.731,245725.797,90.37,0.765,1.647,2.7,8,1688721360,2023-07-07
nor1-5095,5182546.225,245727.237,90.543,0.746,1.602,2.7,8,1688721362,2023-07-07
nor1-5096,5182547.026,245727.948,90.541,0.746,1.603,2.7,8,1688721363,2023-07-07
nor1-5097,5182547.877,245728.84,90.564,0.747,1.603,2.7,8,1688721364,2023-07-07
nor1-5098,5182550.567,245732.998,87.205,4,7.584,2.8,10,1688721372,2023-07-07
nor1-5099,5182553.879,245732.374,91.901,0.886,1.253,2.3,12,1688721373,2023-07-07
nor1-5100,5182554.11,245733.749,92.372,0.943,1.349,2.3,9,1688721374,2023-07-07
nor1-5101,5182554.891,245735.822,91.991,0.76,1.129,2.3,10,1688721376,2023-07-07
nor1-5102,5182555.819,245736.496,91.935,0.762,1.13,5.5,5,1688721377,2023-07-07
nor1-5103,5182556.756,245737.082,91.841,0.77,1.131,5.5,5,1688721378,2023-07-07
nor1-5104,5182557.864,245737.589,91.625,0.777,1.133,5.5,5,1688721379,2023-07-07
nor1-5105,5182558.85,245738.21,91.533,0.784,1.134,5.5,5,1688721380,2023-07-07
nor1-5106,5182559.705,245738.97,91.46,0.785,1.134,5.5,5,1688721381,2023-07-07
nor1-5107,5182564.586,245746.297,91.174,6.354,7.311,2.3,7,1688721388,2023-07-07
nor1-5108,5182565.733,245746.838,91.763,5.387,6.042,2.3,8,1688721389,2023-07-07
nor1-5109,5182566.605,245747.42,91.567,4.812,5.618,2.3,7,1688721390,2023-07-07
nor1-5110,5182568.052,245747.961,92.438,6.139,7.373,2.3,7,1688721391,2023-07-07
nor1-5111,5182568.973,245748.584,92.238,4.621,5.615,2.3,8,1688721392,2023-07-07
nor1-5112,5182570.026,245749.181,93.157,5.343,7.04,2.3,9,1688721393,2023-07-07
nor1-5113,5182570.289,245750.215,88.581,1.185,1.889,3.1,9,1688721395,2023-07-07
nor1-5114,5182571.132,245750.914,89.398,0.957,1.542,3.1,9,1688721396,2023-07-07
nor1-5115,5182572.263,245751.681,89.916,0.878,1.454,3.1,8,1688721397,2023-07-07
nor1-5116,5182573.228,245752.482,90.115,0.76,1.261,3.1,9,1688721398,2023-07-07
nor1-5117,5182574.21,245753.267,90.181,0.772,1.278,3.1,10,1688721399,2023-07-07
nor1-5118,5182575.215,245754.046,90.149,0.86,1.424,3.1,9,1688721400,2023-07-07
nor1-5119,5182576.649,245754.979,89.392,1.074,1.774,2.6,9,1688721401,2023-07-07
