Pt name,North,East,Elevation,HA,VA,SD,Time,Date,Code
RTCM0000,5190078.210,246728.524,35.799,,,,14:30:12,2023-07-04,
nor2-1,5182478.723,245693.113,88.000,,,,15:25:01,2023-07-04,
nor2-2,5182478.723,245693.113,88.002,,,,15:25:02,2023-07-04,
nor2-3,5182478.723,245693.116,88.000,,,,15:25:03,2023-07-04,
nor2-4,5182478.722,245693.118,88.003,,,,15:25:04,2023-07-04,
nor2-5,5182478.723,245693.114,88.003,,,,15:25:05,2023-07-04,
nor2-6,5182478.726,245693.117,88.002,,,,15:25:06,2023-07-04,
nor2-7,5182478.725,245693.118,88.000,,,,15:25:07,2023-07-04,
nor2-8,5182478.726,245693.117,87.999,,,,15:25:08,2023-07-04,
nor2-9,5182478.722,245693.115,88.003,,,,15:25:09,2023-07-04,
nor2-10,5182478.726,245693.118,87.998,,,,15:25:10,2023-07-04,
nor2-11,5182478.723,245693.116,87.999,,,,15:25:11,2023-07-04,
nor2-12,5182478.723,245693.114,88.000,,,,15:25:12,2023-07-04,
nor2-13,5182478.721,245693.114,88.004,,,,15:25:13,2023-07-04,
nor2-14,5182478.725,245693.115,88.004,,,,15:25:14,2023-07-04,
nor2-15,5182478.724,245693.114,88.007,,,,15:25:15,2023-07-04,
nor2-16,5182478.725,245693.114,88.011,,,,15:25:16,2023-07-04,
nor2-17,5182478.729,245693.117,88.003,,,,15:25:17,2023-07-04,
nor2-18,5182478.725,245693.115,88.004,,,,15:25:18,2023-07-04,
nor2-19,5182478.729,245693.117,87.999,,,,15:25:19,2023-07-04,
nor2-20,5182478.728,245693.118,88.005,,,,15:25:20,2023-07-04,
nor2-21,5182478.730,245693.118,88.001,,,,15:25:21,2023-07-04,
nor2-22,5182478.728,245693.120,88.006,,,,15:25:22,2023-07-04,
nor2-23,5182478.729,245693.117,87.999,,,,15:25:23,2023-07-04,
nor2-24,5182478.729,245693.120,87.997,,,,15:25:24,2023-07-04,
nor2-25,5182478.729,245693.115,88.004,,,,15:25:25,2023-07-04,
