nor3-1,5182479.238,245693.765,88.069
nor3-2,5182479.235,245693.766,88.073
nor3-3,5182479.242,245693.770,88.066
nor3-4,5182479.237,245693.765,88.064
nor3-5,5182479.243,245693.768,88.070
nor3-6,5182479.241,245693.766,88.073
nor3-7,5182479.240,245693.768,88.063
nor3-8,5182479.240,245693.766,88.066
nor3-9,5182479.237,245693.763,88.071
nor3-10,5182479.237,245693.767,88.058
nor3-11,5182479.235,245693.761,88.067
nor3-12,5182479.233,245693.762,88.073
nor3-13,5182479.237,245693.763,88.069
nor3-14,5182479.239,245693.763,88.070
nor3-15,5182479.240,245693.761,88.075
nor3-16,5182479.237,245693.767,88.065
nor3-17,5182479.235,245693.763,88.072
nor3-18,5182479.234,245693.767,88.065
nor3-19,5182479.237,245693.765,88.070
nor3-20,5182479.236,245693.767,88.068
nor3-21,5182479.233,245693.766,88.072
nor3-22,5182479.234,245693.764,88.076
nor3-23,5182479.236,245693.768,88.065
nor3-24,5182479.229,245693.768,88.075
nor3-25,5182478.856,245693.744,88.089
nor3-26,5182478.487,245693.721,88.067
nor3-27,5182478.026,245693.694,88.068
nor3-28,5182477.346,245693.681,88.065
nor3-29,5182476.522,245693.673,88.075
nor3-30,5182475.669,245693.667,88.055
nor3-31,5182474.800,245693.685,88.076
nor3-32,5182473.898,245693.729,88.071
nor3-33,5182472.883,245693.784,88.106
nor3-34,5182472.062,245693.869,88.075
nor3-35,5182471.367,245694.000,88.076
nor3-36,5182470.320,245694.254,88.080
nor3-37,5182469.256,245694.605,88.085
nor3-38,5182468.236,245695.049,88.072
nor3-39,5182467.096,245695.634,88.068
nor3-40,5182466.567,245695.913,88.101
nor3-41,5182466.500,245695.958,88.096
nor3-42,5182466.145,245696.131,88.090
nor3-43,5182465.585,245696.196,88.080
nor3-44,5182465.036,245696.026,88.084
nor3-45,5182464.485,245695.614,88.056
nor3-46,5182463.999,245695.104,88.052
nor3-47,5182463.649,245694.573,88.039
nor3-48,5182463.412,245693.978,88.048
nor3-49,5182463.303,245693.639,88.048
nor3-50,5182463.315,245693.629,88.044
nor3-51,5182463.312,245693.635,88.044
nor3-52,5182463.310,245693.623,88.041
nor3-53,5182463.277,245693.427,88.032
nor3-54,5182463.205,245693.135,88.036
nor3-55,5182463.100,245692.584,88.048
