Pt name,North,East,Elevation,HA,VA,SD,Time,Date,Code
RTCM0000,5190078.210,246728.524,35.799,,,,14:27:09,2023-07-04,
1,5182483.275,245700.042,87.865,,,,14:27:47,2023-07-04,
2,5182483.282,245700.045,87.862,,,,14:27:48,2023-07-04,
3,5182483.283,245700.048,87.854,,,,14:27:49,2023-07-04,
4,5182483.288,245700.050,87.853,,,,14:27:50,2023-07-04,
5,5182483.284,245700.051,87.862,,,,14:27:51,2023-07-04,
6,5182483.275,245700.044,87.876,,,,14:27:52,2023-07-04,
7,5182483.277,245700.044,87.879,,,,14:27:53,2023-07-04,
nor1-1,5182479.722,245693.388,87.988,,,,15:24:48,2023-07-04,
nor1-2,5182479.717,245693.387,87.983,,,,15:24:49,2023-07-04,
nor1-3,5182479.718,245693.386,87.983,,,,15:24:50,2023-07-04,
nor1-4,5182479.718,245693.385,87.985,,,,15:24:51,2023-07-04,
nor1-5,5182479.722,245693.384,87.990,,,,15:24:52,2023-07-04,
nor1-6,5182479.720,245693.385,87.978,,,,15:24:53,2023-07-04,
nor1-7,5182479.719,245693.386,87.987,,,,15:24:54,2023-07-04,
nor1-8,5182479.720,245693.389,87.986,,,,15:24:55,2023-07-04,
nor1-9,5182479.721,245693.391,87.986,,,,15:24:56,2023-07-04,
nor1-10,5182479.720,245693.388,87.987,,,,15:24:57,2023-07-04,
nor1-11,5182479.723,245693.391,87.985,,,,15:24:58,2023-07-04,
nor1-12,5182479.723,245693.392,87.991,,,,15:24:59,2023-07-04,
nor1-13,5182479.723,245693.389,87.985,,,,15:25:00,2023-07-04,
nor1-14,5182479.721,245693.387,87.990,,,,15:25:01,2023-07-04,
nor1-15,5182479.721,245693.387,87.984,,,,15:25:02,2023-07-04,
nor1-16,5182479.720,245693.387,87.989,,,,15:25:03,2023-07-04,
nor1-17,5182479.720,245693.385,87.991,,,,15:25:04,2023-07-04,
nor1-18,5182479.717,245693.387,87.993,,,,15:25:05,2023-07-04,
nor1-19,5182479.722,245693.386,87.991,,,,15:25:06,2023-07-04,
nor1-20,5182479.720,245693.385,87.995,,,,15:25:07,2023-07-04,
nor1-21,5182479.721,245693.385,87.999,,,,15:25:08,2023-07-04,
nor1-22,5182479.722,245693.388,87.995,,,,15:25:09,2023-07-04,
nor1-23,5182479.718,245693.386,87.995,,,,15:25:10,2023-07-04,
nor1-24,5182479.720,245693.384,87.987,,,,15:25:11,2023-07-04,
nor1-25,5182479.719,245693.387,87.999,,,,15:25:12,2023-07-04,
nor1-26,5182479.722,245693.386,87.997,,,,15:25:13,2023-07-04,
nor1-27,5182479.719,245693.388,87.999,,,,15:25:14,2023-07-04,
nor1-28,5182479.717,245693.386,87.995,,,,15:25:15,2023-07-04,
nor1-29,5182479.718,245693.386,87.989,,,,15:25:16,2023-07-04,
nor1-30,5182479.716,245693.396,87.993,,,,15:25:17,2023-07-04,
nor1-31,5182479.348,245693.384,87.983,,,,15:25:18,2023-07-04,
nor1-32,5182478.967,245693.356,87.955,,,,15:25:19,2023-07-04,
nor1-33,5182478.508,245693.318,87.987,,,,15:25:20,2023-07-04,
nor1-34,5182477.817,245693.286,87.995,,,,15:25:21,2023-07-04,
nor1-35,5182476.993,245693.284,87.987,,,,15:25:22,2023-07-04,
nor1-36,5182476.129,245693.267,87.986,,,,15:25:23,2023-07-04,
nor1-37,5182475.253,245693.272,87.999,,,,15:25:24,2023-07-04,
nor1-38,5182474.338,245693.302,87.988,,,,15:25:25,2023-07-04,
nor1-39,5182473.321,245693.364,88.017,,,,15:25:26,2023-07-04,
nor1-40,5182472.462,245693.398,88.022,,,,15:25:27,2023-07-04,
nor1-41,5182471.731,245693.502,88.008,,,,15:25:28,2023-07-04,
nor1-42,5182470.638,245693.733,88.005,,,,15:25:29,2023-07-04,
nor1-43,5182469.544,245694.068,87.993,,,,15:25:30,2023-07-04,
nor1-44,5182468.488,245694.503,87.971,,,,15:25:31,2023-07-04,
nor1-45,5182467.325,245695.075,87.991,,,,15:25:32,2023-07-04,
nor1-46,5182466.776,245695.349,87.988,,,,15:25:33,2023-07-04,
nor1-47,5182466.764,245695.407,87.991,,,,15:25:34,2023-07-04,
nor1-48,5182466.507,245695.645,87.995,,,,15:25:35,2023-07-04,
nor1-49,5182466.121,245695.911,87.976,,,,15:25:36,2023-07-04,
nor1-50,5182465.648,245695.978,87.990,,,,15:25:37,2023-07-04,
nor1-51,5182465.092,245695.664,87.979,,,,15:25:38,2023-07-04,
nor1-52,5182464.585,245695.275,87.968,,,,15:25:39,2023-07-04,
nor1-53,5182464.198,245694.836,87.954,,,,15:25:40,2023-07-04,
nor1-54,5182463.907,245694.343,87.957,,,,15:25:41,2023-07-04,
nor1-55,5182463.760,245694.051,87.958,,,,15:25:42,2023-07-04,
nor1-56,5182463.770,245694.030,87.959,,,,15:25:43,2023-07-04,
nor1-57,5182463.764,245694.035,87.957,,,,15:25:44,2023-07-04,
nor1-58,5182463.769,245694.012,87.950,,,,15:25:45,2023-07-04,
nor1-59,5182463.745,245693.818,87.954,,,,15:25:46,2023-07-04,
nor1-60,5182463.678,245693.524,87.948,,,,15:25:47,2023-07-04,
nor1-61,5182463.575,245692.977,87.954,,,,15:25:48,2023-07-04,
nor1-62,5182463.434,245692.351,87.968,,,,15:25:49,2023-07-04,
nor1-63,5182463.283,245691.639,87.969,,,,15:25:50,2023-07-04,
nor1-64,5182463.206,245690.964,87.959,,,,15:25:51,2023-07-04,
nor1-65,5182463.215,245690.222,87.947,,,,15:25:52,2023-07-04,
nor1-66,5182463.276,245689.484,87.941,,,,15:25:53,2023-07-04,
nor1-67,5182463.392,245688.767,87.950,,,,15:25:54,2023-07-04,
nor1-68,5182463.579,245688.002,87.955,,,,15:25:55,2023-07-04,
nor1-69,5182463.840,245687.271,87.934,,,,15:25:56,2023-07-04,
nor1-70,5182464.247,245686.518,87.965,,,,15:25:57,2023-07-04,
nor1-71,5182464.638,245685.662,87.965,,,,15:25:58,2023-07-04,
nor1-72,5182465.114,245684.657,87.943,,,,15:25:59,2023-07-04,
