nor1-100,5182785.907,245439.807,59.719
nor1-101,5182785.907,245439.807,59.719
nor1-102,5182785.907,245439.808,59.721
nor1-103,5182785.908,245439.809,59.717
nor1-104,5182785.907,245439.809,59.716
nor1-105,5182785.909,245439.809,59.722
nor1-106,5182785.909,245439.808,59.720
nor1-107,5182785.906,245439.808,59.717
nor1-108,5182785.907,245439.807,59.718
nor1-109,5182785.906,245439.808,59.717
nor1-110,5182785.905,245439.807,59.712
nor1-111,5182785.906,245439.806,59.717
nor1-112,5182785.907,245439.806,59.710
nor1-113,5182785.907,245439.807,59.713
nor1-114,5182785.907,245439.806,59.714
nor1-115,5182785.906,245439.806,59.716
nor1-116,5182785.904,245439.806,59.712
nor1-117,5182785.904,245439.805,59.717
nor1-118,5182785.906,245439.805,59.718
nor1-119,5182785.910,245439.808,59.716
nor1-120,5182785.908,245439.807,59.713
nor1-121,5182785.908,245439.807,59.716
nor1-122,5182785.906,245439.806,59.720
nor1-123,5182785.911,245439.805,59.714
nor1-124,5182785.908,245439.807,59.711
nor1-125,5182785.909,245439.806,59.710
nor1-126,5182785.910,245439.806,59.709
nor1-127,5182785.910,245439.804,59.717
nor1-128,5182785.912,245439.806,59.715
nor1-129,5182785.913,245439.806,59.712
nor1-130,5182785.912,245439.807,59.709
nor1-131,5182785.914,245439.806,59.712
nor1-132,5182785.914,245439.806,59.715
nor1-133,5182785.914,245439.808,59.709
nor1-134,5182785.915,245439.806,59.712
nor1-135,5182785.912,245439.805,59.709
nor1-136,5182785.914,245439.808,59.713
nor1-137,5182785.912,245439.805,59.712
nor1-138,5182785.913,245439.808,59.715
nor1-139,5182785.913,245439.806,59.719
nor1-140,5182785.911,245439.805,59.713
nor1-141,5182785.915,245439.807,59.713
nor1-142,5182785.916,245439.807,59.715
nor1-143,5182785.914,245439.809,59.715
nor1-144,5182785.914,245439.805,59.714
nor1-145,5182785.913,245439.805,59.713
nor1-146,5182785.912,245439.804,59.717
nor1-147,5182785.912,245439.805,59.716
nor1-148,5182785.912,245439.805,59.717
nor1-149,5182785.915,245439.807,59.708
nor1-150,5182785.914,245439.807,59.715
nor1-151,5182785.915,245439.808,59.714
nor1-152,5182785.910,245439.804,59.722
nor1-153,5182785.912,245439.806,59.719
nor1-154,5182785.910,245439.807,59.720
nor1-155,5182785.911,245439.807,59.719
nor1-156,5182785.913,245439.805,59.718
nor1-157,5182785.908,245439.804,59.723
nor1-158,5182785.908,245439.805,59.718
nor1-159,5182785.908,245439.805,59.726
nor1-160,5182785.905,245439.805,59.721
nor1-161,5182785.903,245439.804,59.726
nor1-162,5182785.903,245439.805,59.727
nor1-163,5182785.907,245439.806,59.726
nor1-164,5182785.903,245439.806,59.725
nor1-165,5182785.906,245439.803,59.721
nor1-166,5182785.906,245439.802,59.721
nor1-167,5182785.904,245439.803,59.725
nor1-168,5182785.904,245439.805,59.721
nor1-169,5182785.908,245439.804,59.721
nor1-170,5182785.905,245439.804,59.726
nor1-171,5182785.906,245439.802,59.730
nor1-172,5182785.907,245439.802,59.734
nor1-173,5182785.904,245439.803,59.733
nor1-174,5182785.906,245439.803,59.730
nor1-175,5182785.907,245439.802,59.729
nor1-176,5182785.905,245439.800,59.729
nor1-177,5182785.907,245439.803,59.732
nor1-178,5182785.908,245439.803,59.729
nor1-179,5182785.906,245439.802,59.730
nor1-180,5182785.906,245439.802,59.735
nor1-181,5182785.904,245439.802,59.728
nor1-182,5182785.904,245439.801,59.730
nor1-183,5182785.907,245439.800,59.734
nor1-184,5182786.399,245438.933,59.736
nor1-185,5182786.470,245438.446,59.748
nor1-186,5182786.938,245437.588,59.764
nor1-187,5182787.554,245436.963,59.729
nor1-188,5182788.385,245436.687,59.731
nor1-189,5182789.024,245436.752,59.707
nor1-190,5182789.039,245436.690,59.757
nor1-191,5182789.219,245436.737,59.745
nor1-192,5182789.935,245436.706,59.715
nor1-193,5182789.201,245436.722,59.725
nor1-194,5182789.126,245436.719,59.739
nor1-195,5182789.134,245436.739,59.728
nor1-196,5182789.133,245436.869,59.747
nor1-197,5182789.105,245436.995,59.735
nor1-198,5182789.146,245436.992,59.741
nor1-199,5182788.985,245436.908,59.754
nor1-200,5182788.781,245436.806,59.771
nor1-201,5182788.769,245436.809,59.744
nor1-202,5182788.775,245436.812,59.732
nor1-203,5182788.776,245436.811,59.735
nor1-204,5182788.776,245436.812,59.743
nor1-205,5182788.774,245436.811,59.736
nor1-206,5182788.772,245436.811,59.736
nor1-207,5182788.778,245436.810,59.733
nor1-208,5182788.776,245436.809,59.737
nor1-209,5182788.777,245436.809,59.740
nor1-210,5182788.780,245436.809,59.739
nor1-211,5182788.777,245436.819,59.737
nor1-212,5182788.734,245436.909,59.733
nor1-213,5182788.481,245436.757,59.730
nor1-214,5182788.075,245436.393,59.735
nor1-215,5182787.659,245435.911,59.721
nor1-216,5182787.305,245435.488,59.724
