nor2-1,5182760.642,245447.213,60.095,
nor2-2,5182760.643,245447.213,60.092,
nor2-100,5182785.220,245440.566,59.761,
nor2-101,5182785.219,245440.566,59.760,
nor2-102,5182785.221,245440.568,59.766,
nor2-103,5182785.223,245440.571,59.761,
nor2-104,5182785.220,245440.570,59.763,
nor2-105,5182785.225,245440.568,59.766,
nor2-106,5182785.223,245440.568,59.764,
nor2-107,5182785.226,245440.569,59.763,
nor2-108,5182785.222,245440.568,59.762,
nor2-109,5182785.224,245440.567,59.759,
nor2-110,5182785.222,245440.567,59.764,
nor2-111,5182785.225,245440.566,59.765,
nor2-112,5182785.225,245440.567,59.760,
nor2-113,5182785.227,245440.568,59.759,
nor2-114,5182785.225,245440.568,59.762,
nor2-115,5182785.221,245440.567,59.763,
nor2-116,5182785.217,245440.565,59.762,
nor2-117,5182785.217,245440.564,59.769,
nor2-118,5182785.222,245440.566,59.768,
nor2-119,5182785.223,245440.566,59.764,
nor2-120,5182785.221,245440.567,59.766,
nor2-121,5182785.221,245440.566,59.771,
nor2-122,5182785.222,245440.566,59.763,
nor2-123,5182785.222,245440.563,59.762,
nor2-124,5182785.222,245440.565,59.764,
nor2-125,5182785.221,245440.564,59.760,
nor2-126,5182785.221,245440.562,59.762,
nor2-127,5182785.221,245440.564,59.767,
nor2-128,5182785.219,245440.563,59.763,
nor2-129,5182785.220,245440.564,59.766,
nor2-130,5182785.221,245440.565,59.763,
nor2-131,5182785.221,245440.563,59.767,
nor2-132,5182785.219,245440.564,59.766,
nor2-133,5182785.221,245440.565,59.766,
nor2-134,5182785.222,245440.563,59.768,
nor2-135,5182785.220,245440.562,59.765,
nor2-136,5182785.220,245440.564,59.764,
nor2-137,5182785.219,245440.562,59.774,
nor2-138,5182785.220,245440.564,59.773,
nor2-139,5182785.216,245440.562,59.776,
nor2-140,5182785.217,245440.560,59.771,
nor2-141,5182785.219,245440.562,59.771,
nor2-142,5182785.219,245440.562,59.771,
nor2-143,5182785.219,245440.564,59.775,
nor2-144,5182785.217,245440.563,59.771,
nor2-145,5182785.215,245440.563,59.771,
nor2-146,5182785.215,245440.561,59.770,
nor2-147,5182785.215,245440.564,59.772,
