Pt name,North,East,Elevation,HA,VA,SD,Time,Date,Code
RTCM0000,5190078.210,246728.524,35.799,,,,11:43:11,2023-07-05,
nor3-1,5182767.114,245442.639,88.206,,,,11:43:43,2023-07-05,
nor3-2,5182766.001,245443.554,88.230,,,,11:43:44,2023-07-05,
nor3-3,5182764.885,245444.501,88.229,,,,11:43:45,2023-07-05,
nor3-100,5182786.017,245440.398,88.043,,,,11:48:43,2023-07-05,
nor3-101,5182786.017,245440.398,88.048,,,,11:48:44,2023-07-05,
nor3-102,5182786.019,245440.399,88.051,,,,11:48:45,2023-07-05,
nor3-103,5182786.020,245440.399,88.050,,,,11:48:46,2023-07-05,
nor3-104,5182786.019,245440.402,88.046,,,,11:48:47,2023-07-05,
nor3-105,5182786.026,245440.401,88.045,,,,11:48:48,2023-07-05,
nor3-106,5182786.022,245440.400,88.036,,,,11:48:49,2023-07-05,
nor3-107,5182786.021,245440.400,88.055,,,,11:48:50,2023-07-05,
nor3-108,5182786.019,245440.399,88.054,,,,11:48:51,2023-07-05,
nor3-109,5182786.021,245440.398,88.047,,,,11:48:52,2023-07-05,
nor3-110,5182786.017,245440.398,88.051,,,,11:48:53,2023-07-05,
nor3-111,5182786.019,245440.400,88.053,,,,11:48:54,2023-07-05,
nor3-112,5182786.021,245440.401,88.048,,,,11:48:55,2023-07-05,
nor3-113,5182786.028,245440.402,88.046,,,,11:48:56,2023-07-05,
nor3-114,5182786.026,245440.402,88.047,,,,11:48:57,2023-07-05,
nor3-115,5182786.022,245440.402,88.051,,,,11:48:58,2023-07-05,
nor3-116,5182786.019,245440.401,88.049,,,,11:48:59,2023-07-05,
nor3-117,5182786.019,245440.402,88.051,,,,11:49:00,2023-07-05,
nor3-118,5182786.022,245440.403,88.048,,,,11:49:01,2023-07-05,
nor3-119,5182786.022,245440.405,88.044,,,,11:49:02,2023-07-05,
nor3-120,5182786.020,245440.406,88.041,,,,11:49:03,2023-07-05,
nor3-121,5182786.023,245440.405,88.042,,,,11:49:04,2023-07-05,
nor3-122,5182786.022,245440.403,88.046,,,,11:49:05,2023-07-05,
nor3-123,5182786.022,245440.404,88.049,,,,11:49:06,2023-07-05,
nor3-124,5182786.021,245440.405,88.051,,,,11:49:07,2023-07-05,
nor3-125,5182786.021,245440.405,88.043,,,,11:49:08,2023-07-05,
nor3-126,5182786.018,245440.404,88.044,,,,11:49:09,2023-07-05,
nor3-127,5182786.019,245440.403,88.057,,,,11:49:10,2023-07-05,
nor3-128,5182786.018,245440.404,88.042,,,,11:49:11,2023-07-05,
nor3-129,5182786.019,245440.403,88.052,,,,11:49:12,2023-07-05,
nor3-130,5182786.018,245440.403,88.055,,,,11:49:13,2023-07-05,
nor3-131,5182786.019,245440.403,88.053,,,,11:49:14,2023-07-05,
nor3-132,5182786.020,245440.404,88.052,,,,11:49:15,2023-07-05,
nor3-133,5182786.021,245440.404,88.049,,,,11:49:16,2023-07-05,
nor3-134,5182786.019,245440.406,88.043,,,,11:49:17,2023-07-05,
nor3-135,5182786.023,245440.405,88.045,,,,11:49:18,2023-07-05,
nor3-136,5182786.019,245440.405,88.049,,,,11:49:19,2023-07-05,
nor3-137,5182786.022,245440.406,88.060,,,,11:49:20,2023-07-05,
nor3-138,5182786.021,245440.404,88.059,,,,11:49:21,2023-07-05,
nor3-139,5182786.019,245440.403,88.060,,,,11:49:22,2023-07-05,
nor3-140,5182786.017,245440.402,88.060,,,,11:49:23,2023-07-05,
nor3-141,5182786.020,245440.402,88.064,,,,11:49:24,2023-07-05,
nor3-142,5182786.021,245440.404,88.055,,,,11:49:25,2023-07-05,
nor3-143,5182786.019,245440.405,88.055,,,,11:49:26,2023-07-05,
nor3-144,5182786.023,245440.405,88.056,,,,11:49:27,2023-07-05,
nor3-145,5182786.016,245440.404,88.055,,,,11:49:28,2023-07-05,
nor3-146,5182786.014,245440.403,88.059,,,,11:49:29,2023-07-05,
nor3-147,5182786.014,245440.403,88.059,,,,11:49:30,2023-07-05,
nor3-148,5182786.017,245440.406,88.055,,,,11:49:31,2023-07-05,
nor3-149,5182786.019,245440.403,88.048,,,,11:49:32,2023-07-05,
nor3-150,5182786.020,245440.407,88.049,,,,11:49:33,2023-07-05,
nor3-151,5182786.020,245440.403,88.046,,,,11:49:34,2023-07-05,
nor3-152,5182786.018,245440.403,88.062,,,,11:49:35,2023-07-05,
nor3-153,5182786.017,245440.404,88.057,,,,11:49:36,2023-07-05,
nor3-154,5182786.020,245440.406,88.054,,,,11:49:37,2023-07-05,
nor3-155,5182786.019,245440.405,88.055,,,,11:49:38,2023-07-05,
nor3-156,5182786.020,245440.406,88.055,,,,11:49:39,2023-07-05,
nor3-157,5182786.019,245440.404,88.061,,,,11:49:40,2023-07-05,
nor3-158,5182786.018,245440.404,88.053,,,,11:49:41,2023-07-05,
nor3-159,5182786.015,245440.405,88.054,,,,11:49:42,2023-07-05,
nor3-160,5182786.020,245440.407,88.050,,,,11:49:43,2023-07-05,
nor3-161,5182786.014,245440.406,88.054,,,,11:49:44,2023-07-05,
nor3-162,5182786.013,245440.404,88.053,,,,11:49:45,2023-07-05,
nor3-163,5182786.015,245440.407,88.053,,,,11:49:46,2023-07-05,
nor3-164,5182786.014,245440.406,88.049,,,,11:49:47,2023-07-05,
nor3-165,5182786.017,245440.404,88.051,,,,11:49:48,2023-07-05,
nor3-166,5182786.015,245440.404,88.057,,,,11:49:49,2023-07-05,
nor3-167,5182786.012,245440.404,88.055,,,,11:49:50,2023-07-05,
nor3-168,5182786.013,245440.404,88.050,,,,11:49:51,2023-07-05,
nor3-169,5182786.012,245440.404,88.050,,,,11:49:52,2023-07-05,
nor3-170,5182786.009,245440.403,88.053,,,,11:49:53,2023-07-05,
nor3-171,5182786.011,245440.402,88.058,,,,11:49:54,2023-07-05,
nor3-172,5182786.010,245440.403,88.056,,,,11:49:55,2023-07-05,
nor3-173,5182786.010,245440.402,88.058,,,,11:49:56,2023-07-05,
nor3-174,5182786.013,245440.404,88.051,,,,11:49:57,2023-07-05,
nor3-175,5182786.010,245440.403,88.056,,,,11:49:58,2023-07-05,
nor3-176,5182786.009,245440.399,88.047,,,,11:49:59,2023-07-05,
nor3-177,5182786.012,245440.399,88.042,,,,11:50:00,2023-07-05,
nor3-178,5182786.012,245440.402,88.041,,,,11:50:01,2023-07-05,
nor3-179,5182786.012,245440.400,88.049,,,,11:50:02,2023-07-05,
nor3-180,5182786.009,245440.400,88.045,,,,11:50:03,2023-07-05,
nor3-181,5182786.008,245440.399,88.051,,,,11:50:04,2023-07-05,
nor3-182,5182786.010,245440.399,88.054,,,,11:50:05,2023-07-05,
nor3-183,5182786.011,245440.398,88.057,,,,11:50:06,2023-07-05,
nor3-184,5182786.498,245439.533,88.061,,,,11:50:07,2023-07-05,
nor3-185,5182786.710,245439.005,88.066,,,,11:50:08,2023-07-05,
nor3-186,5182787.038,245438.183,88.062,,,,11:50:09,2023-07-05,
nor3-187,5182787.485,245437.564,88.067,,,,11:50:10,2023-07-05,
nor3-188,5182788.046,245437.205,88.064,,,,11:50:11,2023-07-05,
nor3-189,5182788.539,245437.113,88.032,,,,11:50:12,2023-07-05,
nor3-190,5182788.595,245437.109,88.068,,,,11:50:13,2023-07-05,
nor3-191,5182788.737,245437.111,88.058,,,,11:50:14,2023-07-05,
nor3-192,5182789.451,245437.088,88.035,,,,11:50:15,2023-07-05,
